# mycobench extended panel: nigeria-full
#
# GENERATED from verified NCBI metadata -- do not hand-edit.
#
# All 213 Illumina paired-end, non-bovis Mycobacterium tuberculosis runs whose
# BioSample geo_loc_name confirms Nigeria. 37 free-text matches from the East
# China Sea and 134 BioSamples with no geo_loc_name were excluded.
#
# SEVERELY STUDY-CLUSTERED. Run 'mycobench review-candidates' with
# --max-per-bioproject before using this panel for any interval or significance
# claim; see cohorts/README.md.
#
# phenotype_source is EMPTY on every row: concordance track only.
sample_id	sra_run	biosample	bioproject	organism	geo_loc_name	collection_date	isolation_source	platform	layout	bases	cohort_tier	phenotype_source	source_study
ng_SRR35084527	SRR35084527	SAMN50741094	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-20		ILLUMINA	PAIRED	156440213	B		NCBI_discovery_pending_publication_review
ng_SRR35084688	SRR35084688	SAMN50741126	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-28		ILLUMINA	PAIRED	168170517	B		NCBI_discovery_pending_publication_review
ng_SRR35084694	SRR35084694	SAMN50741121	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-09-12		ILLUMINA	PAIRED	155478611	B		NCBI_discovery_pending_publication_review
ng_SRR35084693	SRR35084693	SAMN50741122	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-10-12		ILLUMINA	PAIRED	132376591	B		NCBI_discovery_pending_publication_review
ng_SRR35084526	SRR35084526	SAMN50741095	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-30		ILLUMINA	PAIRED	111041754	B		NCBI_discovery_pending_publication_review
ng_SRR35084536	SRR35084536	SAMN50741086	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-04-25		ILLUMINA	PAIRED	152955202	B		NCBI_discovery_pending_publication_review
ng_SRR35084534	SRR35084534	SAMN50741088	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-07-20		ILLUMINA	PAIRED	157467193	B		NCBI_discovery_pending_publication_review
ng_SRR35084523	SRR35084523	SAMN50741098	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-02-03		ILLUMINA	PAIRED	160613128	B		NCBI_discovery_pending_publication_review
ng_SRR35084531	SRR35084531	SAMN50741091	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-10-31		ILLUMINA	PAIRED	183163030	B		NCBI_discovery_pending_publication_review
ng_SRR35084690	SRR35084690	SAMN50741124	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-31		ILLUMINA	PAIRED	142842676	B		NCBI_discovery_pending_publication_review
ng_SRR35084535	SRR35084535	SAMN50741087	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-07-18		ILLUMINA	PAIRED	166685555	B		NCBI_discovery_pending_publication_review
ng_SRR35084540	SRR35084540	SAMN50741083	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-24		ILLUMINA	PAIRED	151916956	B		NCBI_discovery_pending_publication_review
ng_SRR35084532	SRR35084532	SAMN50741090	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-08-14		ILLUMINA	PAIRED	115355936	B		NCBI_discovery_pending_publication_review
ng_SRR35084545	SRR35084545	SAMN50741078	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-08-27		ILLUMINA	PAIRED	158809036	B		NCBI_discovery_pending_publication_review
ng_SRR35084547	SRR35084547	SAMN50741076	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-08-16		ILLUMINA	PAIRED	97413814	B		NCBI_discovery_pending_publication_review
ng_SRR35084544	SRR35084544	SAMN50741079	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-08-27		ILLUMINA	PAIRED	117404351	B		NCBI_discovery_pending_publication_review
ng_SRR35084553	SRR35084553	SAMN50741071	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-04-16		ILLUMINA	PAIRED	159830821	B		NCBI_discovery_pending_publication_review
ng_SRR35084552	SRR35084552	SAMN50741072	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-05-16		ILLUMINA	PAIRED	163405090	B		NCBI_discovery_pending_publication_review
ng_SRR35084551	SRR35084551	SAMN50741073	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-05-16		ILLUMINA	PAIRED	180821105	B		NCBI_discovery_pending_publication_review
ng_SRR35084549	SRR35084549	SAMN50741074	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-05-22		ILLUMINA	PAIRED	130579413	B		NCBI_discovery_pending_publication_review
